Source,Target,Type,Weight
41,23,Undirected,1
41,9,Undirected,1
41,0,Undirected,1
41,16,Undirected,1
42,34,Undirected,1
42,29,Undirected,1
42,18,Undirected,1
42,26,Undirected,1
43,42,Undirected,1
43,36,Undirected,1
43,26,Undirected,1
43,31,Undirected,1
43,38,Undirected,1
43,12,Undirected,1
43,14,Undirected,1
44,19,Undirected,1
44,35,Undirected,1
44,30,Undirected,1
45,44,Undirected,1
45,13,Undirected,1
45,33,Undirected,1
45,1,Undirected,1
45,37,Undirected,1
45,25,Undirected,1
46,21,Undirected,1
47,46,Undirected,1
47,22,Undirected,1
47,6,Undirected,1
47,15,Undirected,1
47,2,Undirected,1
47,39,Undirected,1
47,32,Undirected,1
48,44,Undirected,1
49,48,Undirected,1
49,32,Undirected,1
49,46,Undirected,1
50,30,Undirected,1
50,24,Undirected,1
50,11,Undirected,1
50,28,Undirected,1
51,50,Undirected,1
51,40,Undirected,1
51,8,Undirected,1
51,22,Undirected,1
51,21,Undirected,1
52,3,Undirected,1
52,40,Undirected,1
52,5,Undirected,1
53,52,Undirected,1
53,25,Undirected,1
53,48,Undirected,1
53,49,Undirected,1
53,46,Undirected,1
54,39,Undirected,1
54,31,Undirected,1
54,38,Undirected,1
54,14,Undirected,1
54,34,Undirected,1
54,18,Undirected,1
55,54,Undirected,1
55,31,Undirected,1
55,6,Undirected,1
55,35,Undirected,1
55,29,Undirected,1
55,19,Undirected,1
55,30,Undirected,1
56,27,Undirected,1
57,56,Undirected,1
57,1,Undirected,1
57,42,Undirected,1
57,44,Undirected,1
57,48,Undirected,1
58,3,Undirected,1
58,6,Undirected,1
58,17,Undirected,1
58,36,Undirected,1
59,36,Undirected,1
59,58,Undirected,1
60,59,Undirected,1
60,10,Undirected,1
60,39,Undirected,1
60,6,Undirected,1
60,47,Undirected,1
60,13,Undirected,1
60,15,Undirected,1
60,2,Undirected,1
61,43,Undirected,1
61,47,Undirected,1
61,54,Undirected,1
61,18,Undirected,1
61,26,Undirected,1
61,31,Undirected,1
61,34,Undirected,1
62,61,Undirected,1
62,20,Undirected,1
62,45,Undirected,1
62,17,Undirected,1
62,27,Undirected,1
62,56,Undirected,1
63,27,Undirected,1
63,58,Undirected,1
63,59,Undirected,1
63,42,Undirected,1
64,63,Undirected,1
64,9,Undirected,1
64,32,Undirected,1
64,60,Undirected,1
64,2,Undirected,1
64,6,Undirected,1
64,47,Undirected,1
64,13,Undirected,1
65,0,Undirected,1
65,27,Undirected,1
65,17,Undirected,1
65,63,Undirected,1
65,56,Undirected,1
65,20,Undirected,1
66,65,Undirected,1
66,59,Undirected,1
66,24,Undirected,1
66,44,Undirected,1
66,48,Undirected,1
67,16,Undirected,1
67,41,Undirected,1
67,46,Undirected,1
67,53,Undirected,1
67,49,Undirected,1
68,67,Undirected,1
68,15,Undirected,1
68,50,Undirected,1
68,21,Undirected,1
68,51,Undirected,1
68,7,Undirected,1
68,22,Undirected,1
68,8,Undirected,1
69,4,Undirected,1
69,24,Undirected,1
69,28,Undirected,1
69,50,Undirected,1
69,11,Undirected,1
70,69,Undirected,1
70,43,Undirected,1
70,65,Undirected,1
70,20,Undirected,1
70,56,Undirected,1
70,62,Undirected,1
70,27,Undirected,1
71,60,Undirected,1
71,18,Undirected,1
71,14,Undirected,1
71,34,Undirected,1
71,54,Undirected,1
71,38,Undirected,1
71,61,Undirected,1
71,31,Undirected,1
72,71,Undirected,1
72,2,Undirected,1
72,10,Undirected,1
72,3,Undirected,1
72,40,Undirected,1
72,52,Undirected,1
73,7,Undirected,1
73,49,Undirected,1
73,53,Undirected,1
73,67,Undirected,1
73,46,Undirected,1
74,73,Undirected,1
74,2,Undirected,1
74,72,Undirected,1
74,5,Undirected,1
74,10,Undirected,1
74,52,Undirected,1
74,3,Undirected,1
74,40,Undirected,1
75,20,Undirected,1
75,66,Undirected,1
75,48,Undirected,1
75,57,Undirected,1
75,44,Undirected,1
76,75,Undirected,1
76,27,Undirected,1
76,59,Undirected,1
76,20,Undirected,1
76,70,Undirected,1
76,66,Undirected,1
76,56,Undirected,1
76,62,Undirected,1
77,73,Undirected,1
77,22,Undirected,1
77,7,Undirected,1
77,51,Undirected,1
77,21,Undirected,1
77,8,Undirected,1
78,77,Undirected,1
78,23,Undirected,1
78,50,Undirected,1
78,28,Undirected,1
78,22,Undirected,1
78,8,Undirected,1
78,68,Undirected,1
78,7,Undirected,1
78,51,Undirected,1
79,31,Undirected,1
79,43,Undirected,1
79,30,Undirected,1
79,19,Undirected,1
79,29,Undirected,1
79,35,Undirected,1
79,55,Undirected,1
80,79,Undirected,1
80,37,Undirected,1
80,29,Undirected,1
81,16,Undirected,1
81,5,Undirected,1
81,40,Undirected,1
81,10,Undirected,1
81,72,Undirected,1
81,3,Undirected,1
82,81,Undirected,1
82,74,Undirected,1
82,39,Undirected,1
82,77,Undirected,1
82,80,Undirected,1
82,30,Undirected,1
82,29,Undirected,1
82,7,Undirected,1
83,53,Undirected,1
83,81,Undirected,1
83,69,Undirected,1
83,73,Undirected,1
83,46,Undirected,1
83,67,Undirected,1
83,49,Undirected,1
84,83,Undirected,1
84,24,Undirected,1
84,49,Undirected,1
84,52,Undirected,1
84,3,Undirected,1
84,74,Undirected,1
84,10,Undirected,1
84,81,Undirected,1
84,5,Undirected,1
85,6,Undirected,1
85,14,Undirected,1
85,38,Undirected,1
85,43,Undirected,1
85,80,Undirected,1
85,12,Undirected,1
85,26,Undirected,1
85,31,Undirected,1
86,44,Undirected,1
86,53,Undirected,1
86,75,Undirected,1
86,57,Undirected,1
86,48,Undirected,1
86,80,Undirected,1
86,66,Undirected,1
87,86,Undirected,1
87,17,Undirected,1
87,62,Undirected,1
87,56,Undirected,1
87,24,Undirected,1
87,20,Undirected,1
87,65,Undirected,1
88,49,Undirected,1
88,58,Undirected,1
88,83,Undirected,1
88,69,Undirected,1
88,46,Undirected,1
88,53,Undirected,1
88,73,Undirected,1
88,67,Undirected,1
89,88,Undirected,1
89,1,Undirected,1
89,37,Undirected,1
89,25,Undirected,1
89,33,Undirected,1
89,55,Undirected,1
89,45,Undirected,1
90,5,Undirected,1
90,8,Undirected,1
90,23,Undirected,1
90,0,Undirected,1
90,11,Undirected,1
90,50,Undirected,1
90,24,Undirected,1
90,69,Undirected,1
90,28,Undirected,1
91,29,Undirected,1
91,48,Undirected,1
91,66,Undirected,1
91,69,Undirected,1
91,44,Undirected,1
91,86,Undirected,1
91,57,Undirected,1
91,80,Undirected,1
92,91,Undirected,1
92,35,Undirected,1
92,15,Undirected,1
92,86,Undirected,1
92,48,Undirected,1
92,57,Undirected,1
92,61,Undirected,1
92,66,Undirected,1
92,75,Undirected,1
93,0,Undirected,1
93,23,Undirected,1
93,80,Undirected,1
93,16,Undirected,1
93,4,Undirected,1
93,82,Undirected,1
93,91,Undirected,1
93,41,Undirected,1
93,9,Undirected,1
94,34,Undirected,1
94,19,Undirected,1
94,55,Undirected,1
94,79,Undirected,1
94,80,Undirected,1
94,29,Undirected,1
94,30,Undirected,1
94,82,Undirected,1
94,35,Undirected,1
95,70,Undirected,1
95,69,Undirected,1
95,76,Undirected,1
95,62,Undirected,1
95,56,Undirected,1
95,27,Undirected,1
95,17,Undirected,1
95,87,Undirected,1
95,37,Undirected,1
96,48,Undirected,1
96,17,Undirected,1
96,76,Undirected,1
96,27,Undirected,1
96,56,Undirected,1
96,65,Undirected,1
96,20,Undirected,1
96,87,Undirected,1
97,5,Undirected,1
97,86,Undirected,1
97,58,Undirected,1
97,11,Undirected,1
97,59,Undirected,1
97,63,Undirected,1
98,97,Undirected,1
98,77,Undirected,1
98,48,Undirected,1
98,84,Undirected,1
98,40,Undirected,1
98,10,Undirected,1
98,5,Undirected,1
98,52,Undirected,1
98,81,Undirected,1
99,89,Undirected,1
99,34,Undirected,1
99,14,Undirected,1
99,85,Undirected,1
99,54,Undirected,1
99,18,Undirected,1
99,31,Undirected,1
99,61,Undirected,1
99,71,Undirected,1
100,99,Undirected,1
100,82,Undirected,1
100,13,Undirected,1
100,2,Undirected,1
100,15,Undirected,1
100,32,Undirected,1
100,64,Undirected,1
100,47,Undirected,1
100,39,Undirected,1
100,6,Undirected,1
101,51,Undirected,1
101,30,Undirected,1
101,94,Undirected,1
101,1,Undirected,1
101,79,Undirected,1
101,58,Undirected,1
101,19,Undirected,1
101,55,Undirected,1
101,35,Undirected,1
101,29,Undirected,1
102,100,Undirected,1
102,74,Undirected,1
102,52,Undirected,1
102,98,Undirected,1
102,72,Undirected,1
102,40,Undirected,1
102,10,Undirected,1
102,3,Undirected,1
103,102,Undirected,1
103,33,Undirected,1
103,45,Undirected,1
103,25,Undirected,1
103,89,Undirected,1
103,37,Undirected,1
103,1,Undirected,1
103,70,Undirected,1
104,72,Undirected,1
104,11,Undirected,1
104,0,Undirected,1
104,93,Undirected,1
104,67,Undirected,1
104,41,Undirected,1
104,16,Undirected,1
104,87,Undirected,1
104,23,Undirected,1
104,4,Undirected,1
104,9,Undirected,1
105,89,Undirected,1
105,103,Undirected,1
105,33,Undirected,1
105,62,Undirected,1
105,37,Undirected,1
105,45,Undirected,1
105,1,Undirected,1
105,80,Undirected,1
105,25,Undirected,1
106,25,Undirected,1
106,56,Undirected,1
106,92,Undirected,1
106,2,Undirected,1
106,13,Undirected,1
106,32,Undirected,1
106,60,Undirected,1
106,6,Undirected,1
106,64,Undirected,1
106,15,Undirected,1
106,39,Undirected,1
107,88,Undirected,1
107,75,Undirected,1
107,98,Undirected,1
107,102,Undirected,1
107,72,Undirected,1
107,40,Undirected,1
107,81,Undirected,1
107,5,Undirected,1
107,10,Undirected,1
107,84,Undirected,1
108,4,Undirected,1
108,9,Undirected,1
108,7,Undirected,1
108,51,Undirected,1
108,77,Undirected,1
108,21,Undirected,1
108,78,Undirected,1
108,22,Undirected,1
108,68,Undirected,1
109,79,Undirected,1
109,30,Undirected,1
109,63,Undirected,1
109,1,Undirected,1
109,33,Undirected,1
109,103,Undirected,1
109,105,Undirected,1
109,45,Undirected,1
109,25,Undirected,1
109,89,Undirected,1
109,37,Undirected,1
110,67,Undirected,1
110,13,Undirected,1
110,24,Undirected,1
110,80,Undirected,1
110,88,Undirected,1
110,49,Undirected,1
110,73,Undirected,1
110,46,Undirected,1
110,83,Undirected,1
110,53,Undirected,1
111,23,Undirected,1
111,64,Undirected,1
111,46,Undirected,1
111,78,Undirected,1
111,8,Undirected,1
111,21,Undirected,1
111,51,Undirected,1
111,7,Undirected,1
111,108,Undirected,1
111,68,Undirected,1
111,77,Undirected,1
112,52,Undirected,1
112,96,Undirected,1
112,97,Undirected,1
112,57,Undirected,1
112,66,Undirected,1
112,63,Undirected,1
112,44,Undirected,1
112,92,Undirected,1
112,75,Undirected,1
112,91,Undirected,1
113,28,Undirected,1
113,20,Undirected,1
113,95,Undirected,1
113,59,Undirected,1
113,70,Undirected,1
113,17,Undirected,1
113,87,Undirected,1
113,76,Undirected,1
113,65,Undirected,1
113,96,Undirected,1
114,83,Undirected,1
114,88,Undirected,1
114,110,Undirected,1
114,53,Undirected,1
114,49,Undirected,1
114,73,Undirected,1
114,46,Undirected,1
114,67,Undirected,1
114,58,Undirected,1
114,15,Undirected,1
114,104,Undirected,1
